"('P1_a ', 'Idade')","('P1_b ', 'Genero')","('P1_c ', 'Cor/raca/etnia')",Média de horas com trabalho doméstico e cuidado de pessoas,"('P1_d ', 'PCD')","('P1_i ', 'Estado onde mora')","('P1_i_2 ', 'Regiao onde mora')",Roubos de veículo,Roubos de carro,Roubos de moto,Roubos de bicicleta,Roubos fora do domicílio por região,"('P1_l ', 'Nivel de Ensino')","('P1_m ', 'Área de Formação')","('P2_a ', 'Qual sua situação atual de trabalho?')","('P2_f ', 'Cargo Atual')","('P2_g ', 'Nivel')","('P2_h ', 'Faixa salarial')","('P2_i ', 'Quanto tempo de experiência na área de dados você tem?')","('P2_r ', 'Atualmente qual a sua forma de trabalho?')","('P2_s ', 'Qual a forma de trabalho ideal para você?')"
33,Feminino,Parda,17.399999999999999,Não,São Paulo (SP),Sudeste,92,67,25,23,565,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Analytics Engineer,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido com dias fixos de trabalho presencial
30,Masculino,Branca,16.5,Não,São Paulo (SP),Sudeste,92,67,25,23,565,Mestrado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Economista,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 5 a 6 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
32,Masculino,Parda,17.399999999999999,Não,São Paulo (SP),Sudeste,92,67,25,23,565,Não tenho graduação formal,,Empregado (CLT),Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Sênior,de R$ 12.001/mês a R$ 16.000/mês,de 7 a 10 anos,Modelo 100% remoto,Modelo 100% remoto
38,Masculino,Preta,17.100000000000001,Não,São Paulo (SP),Sudeste,92,67,25,23,565,Não tenho graduação formal,,Empregado (CLT),Cientista de Dados/Data Scientist,Sênior,de R$ 16.001/mês a R$ 20.000/mês,de 7 a 10 anos,Modelo híbrido com dias fixos de trabalho presencial,Modelo 100% remoto
36,Masculino,Parda,17.399999999999999,Não,São Paulo (SP),Sudeste,92,67,25,23,565,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),,,de R$ 25.001/mês a R$ 30.000/mês,de 7 a 10 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
53,Masculino,Branca,16.5,Não,Rio Grande do Sul (RS),Sul,12,8,4,2,74,Pós-graduação,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,Empregado (CLT),Professor/Pesquisador,Pleno,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,Modelo 100% presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
23,Masculino,Amarela,17,Prefiro não informar,São Paulo (SP),Sudeste,92,67,25,23,565,Estudante de Graduação,Outras Engenharias,Empregado (CLT),Cientista de Dados/Data Scientist,Pleno,de R$ 3.001/mês a R$ 4.000/mês,de 3 a 4 anos,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
31,Masculino,Branca,16.5,Não,São Paulo (SP),Sudeste,92,67,25,23,565,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,Modelo 100% presencial,Modelo 100% remoto
33,Feminino,Branca,16.5,Não,Bahia (BA),Nordeste,81,23,57,17,487,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empregado (CLT),Analista de Negócios/Business Analyst,Sênior,de R$ 4.001/mês a R$ 6.000/mês,de 7 a 10 anos,Modelo 100% remoto,Modelo 100% remoto
36,Masculino,Branca,16.5,Não,Santa Catarina (SC),Sul,12,8,4,2,74,Mestrado,Outras Engenharias,Empregado (CLT),Analista de Dados/Data Analyst,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
